Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
29784,https://www.swiggy.com/restaurants/cakezone-domlur-layout-bangalore-29784,CakeZone,4.4,₹200 FOR TWO,"Bakery, Desserts, Sweets, Ice Cream"
94759,https://www.swiggy.com/restaurants/roti-ghar-gandhi-bazaar-main-road-basavanagudi-bangalore-94759,Roti Ghar,4.2,₹400 FOR TWO,"Chinese, South Indian, North Indian, Desserts, Fast Food, Beverages, Mughlai"
5247,https://www.swiggy.com/restaurants/corner-house-ice-cream-residency-road-ashok-nagar-bangalore-5247,Corner House Ice Cream,4.7,₹250 FOR TWO,"Ice Cream, Desserts"
382861,https://www.swiggy.com/restaurants/hotel-moon-light-kuvempu-road-malleshwaram-bangalore-382861,Hotel Moon Light,4.2,₹500 FOR TWO,"Indian, Chinese, Biryani, Tandoor"
426393,https://www.swiggy.com/restaurants/svss-biryani-cmh-road-indiranagar-bangalore-426393,SVSS Biryani,4.2,₹500 FOR TWO,"Hyderabadi, Andhra, Continental"
380655,https://www.swiggy.com/restaurants/siddique-kabab-centre-coles-park-frazer-town-bangalore-380655,Siddique kabab centre,4.2,₹200 FOR TWO,"Chinese, Arabian, Tandoor"
40443,https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,New Shanti Sagar,4.1,₹200 FOR TWO,"South Indian, Chinese, North Indian, Fast Food"
443424,https://www.swiggy.com/restaurants/n-razakhiya-hotel-umar-nagar-nagawara-bangalore-443424,N.Razakhiya Hotel,3.9,₹300 FOR TWO,"North Indian, Chinese, Tandoor, Sweets, Beverages"
6924,https://www.swiggy.com/restaurants/freshmenu-johnson-market-richmond-road-bangalore-6924,FreshMenu,4.1,₹250 FOR TWO,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts"
222046,https://www.swiggy.com/restaurants/chikpet-donne-biryani-house-palace-guttahalli-palace-guttahalli-seshadripuram-bangalore-222046,Chikpet Donne Biryani House Palace Guttahalli,4,₹300 FOR TWO,"Biryani, South Indian"
41100,https://www.swiggy.com/restaurants/nagarjuna-residency-road-ashok-nagar-bangalore-41100,Nagarjuna,4.4,₹600 FOR TWO,"Andhra, South Indian, Biryani, Beverages, Desserts"
264863,https://www.swiggy.com/restaurants/al-zara-mandi-arabian-restaurant-mm-road-frazer-town-bangalore-264863,Al Zara Mandi Arabian Restaurant,4.2,₹500 FOR TWO,"Arabian, North Indian, Indian, Desserts"
252667,https://www.swiggy.com/restaurants/maven-kitchen-vivek-nagar-ejipura-bangalore-252667,Maven Kitchen,4.4,₹199 FOR TWO,"Naga, Chinese"
478720,https://www.swiggy.com/restaurants/razakhiya-hotel-3rd-stage-hebbala-bangalore-478720,Razakhiya Hotel,4.1,₹300 FOR TWO,"North Indian, Indian"
432536,https://www.swiggy.com/restaurants/raidan-1st-block-r-t-nagar-bangalore-432536,Raidan,4,₹400 FOR TWO,"Arabian, Chinese, Beverages, Mughlai"
48556,https://www.swiggy.com/restaurants/imperial-restaurant-central-street-mg-road-bangalore-48556,Imperial Restaurant,4,₹400 FOR TWO,"Arabian, Chinese, Desserts, Mughlai, North Indian, Seafood, South Indian"
137297,https://www.swiggy.com/restaurants/chicken-county-restaurant-gandhi-nagar-k-g-circle-majestic-bangalore-137297,Chicken County Restaurant,4.2,₹300 FOR TWO,"North Indian, Chinese, Tandoor, Grill, Biryani, Kebabs, Ice Cream, Juices, South..."
307050,https://www.swiggy.com/restaurants/call-me-chow-8th-block-koramangala-bangalore-307050,Call Me Chow,4.3,₹400 FOR TWO,"Chinese, Pan-Asian"
611922,https://www.swiggy.com/restaurants/the-cake-deluxe-patelamma-temple-street-basavanagudi-bangalore-611922,The cake deluxe,4.6,₹250 FOR TWO,"Bakery, Desserts, Cafe"
